7,1766,0,12917,10112
84,8265,7,143562,57302
45,5616,7,84776,38633
51,5172,0,119367,40602
48,5644,0,81440,38615
52,6529,0,115576,47605
40,4310,53,92040,33803
52,6371,0,95850,39158
46,5744,1,115185,42822
45,5582,2,81350,33384
69,7538,528,117955,52892
23,3761,2,81207,27550
69,6616,0,117719,43593
45,5664,6,83923,38826
49,5191,5,119959,41100
51,6605,2,118171,46482
71,7525,0,117883,52577
52,5610,0,117377,41302
42,5316,0,117388,40591
62,6119,2,83287,31878
50,6482,0,107448,46687
44,5600,266,101248,41200
44,5322,0,84941,37911
62,6734,0,117800,48555
27,3665,0,81596,22747
80,7752,190,117244,49827
7,1883,0,45683,15247
47,5984,1,120140,41145
77,7506,0,117862,47032
44,5367,0,117523,41007
45,6664,0,118535,46447
83,8258,0,118652,52332
40,4854,0,82284,33809
60,5740,44,118226,40445
44,5626,0,81449,38422
45,5171,0,118889,40518
44,5621,45,81576,38249
48,5316,0,118195,41234
48,4401,0,89066,33060
35,4120,0,42014,17602
16,3164,2,79868,24655
72,7075,0,116723,45741
42,5429,0,81015,37677
46,5138,1,117365,40420
41,5598,0,81243,38377
46,5143,0,118003,40359
44,5626,0,80861,38411
45,5102,0,117216,40113
46,5668,28,88295,33106
46,6697,0,100598,44191
44,5517,207,105282,41217
44,5660,0,83114,38663
38,3477,0,52967,24417
44,5129,0,117005,40104
46,4710,0,89333,33499
49,6385,0,96374,39278
44,5632,193,105063,41520
44,5290,0,83346,37665
60,6490,0,118494,46987
27,3824,0,81365,23396
80,7743,155,117596,49051
32,4651,0,81691,33308
57,5505,0,117047,40154
43,5601,0,81673,38394
46,5155,0,117267,40466
5,1923,1,17991,11495
63,6919,1,119680,49729
21,3634,0,80968,24176
73,7205,42,117385,46068
7,2547,0,68821,19438
81,7780,231,123659,50387
39,5278,0,87368,36890
45,5162,0,123755,41082
43,5617,0,86741,38656
44,5155,0,123606,40597
43,5667,1,88047,35529
48,6757,0,114243,47527
41,4361,53,102154,34778
39,3763,0,84485,29088
50,5712,1,87064,32346
47,6395,0,110208,45909
44,5475,18,109276,41030
43,5528,0,88423,38325
70,7430,0,124534,52861
24,3857,0,86832,28289
65,6486,222,123617,42703
46,5657,1,87633,38946
45,5165,0,124111,40945
42,5624,1,86379,38857
46,6575,0,121012,48175
43,5458,205,106914,40703
39,3510,1,57476,24884
43,5654,23,86588,38943
46,5182,0,123990,41021
43,5665,1,86569,32405
49,6666,0,109690,46541
44,5659,4,110926,41790
45,5694,0,87591,38158
69,7307,1,125263,52004
26,3804,0,87587,27105
69,6704,0,123674,43596
44,5639,0,87393,38789
46,5197,0,124023,41378
44,5651,0,86979,39012
43,4885,0,76683,33169
45,5792,2,87380,39353
45,5263,0,125014,41546
44,5712,0,88571,39209
45,6567,0,121941,48061
42,4750,246,100944,37068
42,5209,1,91742,37823
59,6536,12,123719,46943
28,3921,1,87136,24258
76,7391,29,123041,47149
39,5323,1,86444,37029
43,5298,0,122626,41167
43,5787,1,85933,39465
17,2734,0,62941,20094
27,4057,0,85303,25367
81,7971,25,122553,51027
31,4674,0,86049,33554
56,5441,53,121947,40648
43,5627,0,85443,38757
46,5177,0,122142,40858
45,5646,0,86342,38829
46,6264,0,123480,46484
41,4313,90,96385,33871
46,6649,0,101975,39691
45,5526,122,110090,41305
44,5669,0,87435,38228
53,5777,1,113343,42302
32,4427,1,90667,26809
78,7504,0,124122,47674
46,5676,1,87844,39288
45,5347,0,123426,41894
45,5780,2,86687,39318
45,5211,0,123760,41076
46,4674,0,96293,33621
51,6336,0,102219,39281
45,5609,227,121448,42395
45,5433,0,87387,33458
78,8102,7,122945,54952
25,4259,1,86802,31172
16,1299,35,54734,8609
47,6219,0,98329,38975
43,5660,1,121538,42801
43,5259,0,87835,32824
81,8108,200,123346,53171
31,4660,1,86134,33294
54,5542,0,122998,40797
46,5645,0,87591,39137
45,5167,0,123057,40912
46,5655,1,87361,38811
48,6787,0,116806,48105
39,4312,1,97808,33849
47,6461,0,99911,39302
44,5552,15,113165,41793
43,5553,1,86714,35674
74,7747,0,124053,54909
21,3685,0,86740,28144
68,6546,186,123174,43401
43,5639,1,87053,38972
44,5155,0,123224,40527
45,5656,1,86499,39174
44,5167,1,123347,41079
43,4315,85,96541,33904
46,6385,0,100935,39155
44,5525,18,111986,41374
43,5613,0,86503,37610
40,3732,36,82104,28923
47,6365,0,98868,39109
44,5779,25,121306,43173
47,5394,1,87533,33299
80,8135,170,123705,54017
27,4140,0,86498,30183
62,6290,0,123542,41757
45,5698,0,87033,39169
45,5183,0,122956,41134
43,5641,0,85935,38992
48,6556,0,120822,48022
40,4349,35,101732,34555
44,5857,1,99371,41505
39,3606,37,67527,26586
48,6583,1,114002,46740
46,4315,162,95070,33904
48,6383,0,98950,38796
43,5549,41,111088,41615
43,5633,0,88087,35774
77,7982,16,124104,54668
32,4917,1,87843,35195
51,5303,7,124181,40854
42,5683,0,87940,39166
47,5330,0,124796,41488
44,5862,0,94376,33600
46,6451,0,102456,39466
40,4319,70,97436,33981
46,6333,0,103991,39068
44,5476,2,113063,41026
44,5676,0,94058,39556
78,8082,101,129493,56423
33,4868,0,93563,35174
52,5384,23,130652,41495
41,5658,0,92596,39581
46,5326,0,129883,41640
46,4807,0,100443,34132
45,6177,1,100625,38836
61,7067,38,130334,48110
32,4248,0,91622,27083
33,3613,6,83325,22145
45,5655,0,93234,36358
79,8286,28,129179,55939
46,5856,0,92648,40450
46,5246,0,130361,41445
41,5730,0,93353,39881
50,6528,0,126537,48166
47,5479,166,113720,41096
45,5683,1,94454,38609
82,8141,0,129438,56005
43,5513,0,92982,38787
47,5233,3,130072,41795
52,6684,1,130839,47466
41,3516,0,65985,23924
48,6716,0,131267,47212
83,8119,0,130312,51795
51,6131,0,90450,41146
47,5180,0,130190,41149
45,5669,0,93000,39648
47,6547,0,128352,48101
44,5450,20,109150,40779
44,5674,0,94938,40380
79,8161,235,130694,57329
33,4800,0,92922,34626
50,5580,0,130329,41666
43,5833,0,92409,40240
45,4782,0,75789,32697
37,5267,0,92115,37290
49,5172,0,129872,41335
42,5655,69,92035,39476
44,5173,0,130169,41308
49,4447,0,100904,33980
48,6357,0,101558,39089
56,6722,153,130398,46211
33,4195,0,92629,25574
74,7278,0,131726,46575
44,5675,1,93763,39550
44,5236,1,130879,41613
48,5710,1,94879,32912
42,4772,0,81309,33139
41,5704,0,91535,39590
51,6609,0,127939,48744
38,4330,185,102994,34196
46,5816,0,96930,38842
76,8063,1,131842,56439
34,4945,1,93868,35286
53,5448,0,131584,41552
42,5745,0,93577,40081
50,6612,0,129942,48913
47,5539,0,112913,41488
46,5705,0,94973,36833
82,8271,75,130533,54105
8,1999,0,49896,15167
41,4363,34,104203,34801
44,5801,2,97618,41026
82,8199,86,130886,57056
41,5666,0,92775,39621
46,5216,1,129934,41402
43,5715,1,93841,39796
47,6541,0,122207,47683
42,4367,0,103704,34849
